cat_middle,cat_3,code_icd10_p,code_icd10,codename_high,codename,code_icd9
V20－V29,V22,V22.1,V221,NA,二輪又は三輪のモーター車両との衝突により受傷したオートバイ乗員，路上外交通事故により受傷した同乗者,
V20－V29,V22,V22.2,V222,NA,二輪又は三輪のモーター車両との衝突により受傷したオートバイ乗員，路上外交通事故により受傷した詳細不明の乗員,
V20－V29,V22,V22.3,V223,NA,二輪又は三輪のモーター車両との衝突により受傷したオートバイ乗員，乗降中に受傷した者,
V20－V29,V22,V22.4,V224,NA,二輪又は三輪のモーター車両との衝突により受傷したオートバイ乗員，路上交通事故により受傷した運転者,
V20－V29,V22,V22.5,V225,NA,二輪又は三輪のモーター車両との衝突により受傷したオートバイ乗員，路上交通事故により受傷した同乗者,
V20－V29,V22,V22.9,V229,NA,二輪又は三輪のモーター車両との衝突により受傷したオートバイ乗員，路上交通事故により受傷した詳細不明の乗員,
V20－V29,V23,V23,V23,NA,乗用車，軽トラック又はバンとの衝突により受傷したオートバイ乗員,
V20－V29,V23,V23.0,V230,NA,乗用車，軽トラック又はバンとの衝突により受傷したオートバイ乗員，路上外交通事故により受傷した運転者,
V20－V29,V23,V23.1,V231,NA,乗用車，軽トラック又はバンとの衝突により受傷したオートバイ乗員，路上外交通事故により受傷した同乗者,
V20－V29,V23,V23.2,V232,NA,乗用車，軽トラック又はバンとの衝突により受傷したオートバイ乗員，路上外交通事故により受傷した詳細不明の乗員,
V20－V29,V23,V23.3,V233,NA,乗用車，軽トラック又はバンとの衝突により受傷したオートバイ乗員，乗降中に受傷した者,
V20－V29,V23,V23.4,V234,NA,乗用車，軽トラック又はバンとの衝突により受傷したオートバイ乗員，路上交通事故により受傷した運転者,
V20－V29,V23,V23.5,V235,NA,乗用車，軽トラック又はバンとの衝突により受傷したオートバイ乗員，路上交通事故により受傷した同乗者,
V20－V29,V23,V23.9,V239,NA,乗用車，軽トラック又はバンとの衝突により受傷したオートバイ乗員，路上交通事故により受傷した詳細不明の乗員,
V20－V29,V24,V24,V24,NA,大型輸送車両又はバスとの衝突により受傷したオートバイ乗員,
V20－V29,V24,V24.0,V240,NA,大型輸送車両又はバスとの衝突により受傷したオートバイ乗員，路上外交通事故により受傷した運転者,
V20－V29,V24,V24.1,V241,NA,大型輸送車両又はバスとの衝突により受傷したオートバイ乗員，路上外交通事故により受傷した同乗者,
V20－V29,V24,V24.2,V242,NA,大型輸送車両又はバスとの衝突により受傷したオートバイ乗員，路上外交通事故により受傷した詳細不明の乗員,
V20－V29,V24,V24.3,V243,NA,大型輸送車両又はバスとの衝突により受傷したオートバイ乗員，乗降中に受傷した者,
V20－V29,V24,V24.4,V244,NA,大型輸送車両又はバスとの衝突により受傷したオートバイ乗員，路上交通事故により受傷した運転者,
V20－V29,V24,V24.5,V245,NA,大型輸送車両又はバスとの衝突により受傷したオートバイ乗員，路上交通事故により受傷した同乗者,
V20－V29,V24,V24.9,V249,NA,大型輸送車両又はバスとの衝突により受傷したオートバイ乗員，路上交通事故により受傷した詳細不明の乗員,
V20－V29,V25,V25,V25,NA,鉄道列車又は鉄道車両との衝突により受傷したオートバイ乗員,
V20－V29,V25,V25.0,V250,NA,鉄道列車又は鉄道車両との衝突により受傷したオートバイ乗員，路上外交通事故により受傷した運転者,
V20－V29,V25,V25.1,V251,NA,鉄道列車又は鉄道車両との衝突により受傷したオートバイ乗員，路上外交通事故により受傷した同乗者,
V20－V29,V25,V25.2,V252,NA,鉄道列車又は鉄道車両との衝突により受傷したオートバイ乗員，路上外交通事故により受傷した詳細不明の乗員,
V20－V29,V25,V25.3,V253,NA,鉄道列車又は鉄道車両との衝突により受傷したオートバイ乗員，乗降中に受傷した者,
V20－V29,V25,V25.4,V254,NA,鉄道列車又は鉄道車両との衝突により受傷したオートバイ乗員，路上交通事故により受傷した運転者,
V20－V29,V25,V25.5,V255,NA,鉄道列車又は鉄道車両との衝突により受傷したオートバイ乗員，路上交通事故により受傷した同乗者,
V20－V29,V25,V25.9,V259,NA,鉄道列車又は鉄道車両との衝突により受傷したオートバイ乗員，路上交通事故により受傷した詳細不明の乗員,
V20－V29,V26,V26,V26,NA,その他の非モーター車両との衝突により受傷したオートバイ乗員,
V20－V29,V26,V26.0,V260,NA,その他の非モーター車両との衝突により受傷したオートバイ乗員，路上外交通事故により受傷した運転者,
V20－V29,V26,V26.1,V261,NA,その他の非モーター車両との衝突により受傷したオートバイ乗員，路上外交通事故により受傷した同乗者,
V20－V29,V26,V26.2,V262,NA,その他の非モーター車両との衝突により受傷したオートバイ乗員，路上外交通事故により受傷した詳細不明の乗員,
V20－V29,V26,V26.3,V263,NA,その他の非モーター車両との衝突により受傷したオートバイ乗員，乗降中に受傷した者,
V20－V29,V26,V26.4,V264,NA,その他の非モーター車両との衝突により受傷したオートバイ乗員，路上交通事故により受傷した運転者,
V20－V29,V26,V26.5,V265,NA,その他の非モーター車両との衝突により受傷したオートバイ乗員，路上交通事故により受傷した同乗者,
V20－V29,V26,V26.9,V269,NA,その他の非モーター車両との衝突により受傷したオートバイ乗員，路上交通事故により受傷した詳細不明の乗員,
V20－V29,V27,V27,V27,NA,固定又は静止した物体との衝突により受傷したオートバイ乗員,
V20－V29,V27,V27.0,V270,NA,固定又は静止した物体との衝突により受傷したオートバイ乗員，路上外交通事故により受傷した運転者,
V20－V29,V27,V27.1,V271,NA,固定又は静止した物体との衝突により受傷したオートバイ乗員，路上外交通事故により受傷した同乗者,
V20－V29,V27,V27.2,V272,NA,固定又は静止した物体との衝突により受傷したオートバイ乗員，路上外交通事故により受傷した詳細不明の乗員,
V20－V29,V27,V27.3,V273,NA,固定又は静止した物体との衝突により受傷したオートバイ乗員，乗降中に受傷した者,
V20－V29,V27,V27.4,V274,NA,固定又は静止した物体との衝突により受傷したオートバイ乗員，路上交通事故により受傷した運転者,
V20－V29,V27,V27.5,V275,NA,固定又は静止した物体との衝突により受傷したオートバイ乗員，路上交通事故により受傷した同乗者,
V20－V29,V27,V27.9,V279,NA,固定又は静止した物体との衝突により受傷したオートバイ乗員，路上交通事故により受傷した詳細不明の乗員,
V20－V29,V28,V28,V28,NA,衝突以外の交通事故により受傷したオートバイ乗員,
V20－V29,V28,V28.0,V280,NA,衝突以外の交通事故により受傷したオートバイ乗員，路上外交通事故により受傷した運転者,
V20－V29,V28,V28.1,V281,NA,衝突以外の交通事故により受傷したオートバイ乗員，路上外交通事故により受傷した同乗者,
V20－V29,V28,V28.2,V282,NA,衝突以外の交通事故により受傷したオートバイ乗員，路上外交通事故により受傷した詳細不明の乗員,
V20－V29,V28,V28.3,V283,NA,衝突以外の交通事故により受傷したオートバイ乗員，乗降中に受傷した者,
V20－V29,V28,V28.4,V284,NA,衝突以外の交通事故により受傷したオートバイ乗員，路上交通事故により受傷した運転者,
V20－V29,V28,V28.5,V285,NA,衝突以外の交通事故により受傷したオートバイ乗員，路上交通事故により受傷した同乗者,
V20－V29,V28,V28.9,V289,NA,衝突以外の交通事故により受傷したオートバイ乗員，路上交通事故により受傷した詳細不明の乗員,
V20－V29,V29,V29,V29,NA,その他及び詳細不明の交通事故により受傷したオートバイ乗員,
V20－V29,V29,V29.0,V290,NA,その他及び詳細不明のモーター車両との路上外交通事故により受傷したオートバイ運転者,
V20－V29,V29,V29.1,V291,NA,その他及び詳細不明のモーター車両との路上外交通事故により受傷したオートバイ同乗者,
V20－V29,V29,V29.2,V292,NA,その他及び詳細不明のモーター車両との路上外交通事故により受傷した詳細不明のオートバイ乗員,
V20－V29,V29,V29.3,V293,NA,詳細不明の路上外交通事故により受傷したオートバイ乗員,
V20－V29,V29,V29.4,V294,NA,その他及び詳細不明のモーター車両との路上交通事故により受傷したオートバイ運転者,
V20－V29,V29,V29.5,V295,NA,その他及び詳細不明のモーター車両との路上交通事故により受傷したオートバイ同乗者,
V20－V29,V29,V29.6,V296,NA,その他及び詳細不明のモーター車両との路上交通事故により受傷した詳細不明のオートバイ乗員,
V20－V29,V29,V29.8,V298,NA,その他の明示された交通事故により受傷したオートバイ乗員,
V20－V29,V29,V29.9,V299,NA,詳細不明の路上交通事故により受傷したオートバイ乗員,
－,－,－,－,NA,NA,
－,－,－,－,NA,路上外交通事故により受傷した運転者,
－,－,－,－,NA,路上外交通事故により受傷した同乗者,
－,－,－,－,NA,路上外交通事故により受傷した車両の外側に乗っていた者,
－,－,－,－,NA,路上外交通事故により受傷した詳細不明の乗員,
－,－,－,－,NA,乗降中に受傷した者,
－,－,－,－,NA,路上交通事故により受傷した運転者,
－,－,－,－,NA,路上交通事故により受傷した同乗者,
－,－,－,－,NA,路上交通事故により受傷した車両の外側に乗っていた者,
－,－,－,－,NA,路上交通事故により受傷した詳細不明の乗員,
V30－V39,V30,V30,V30,NA,歩行者又は動物との衝突により受傷したオート三輪車乗員,
V30－V39,V30,V30.0,V300,NA,歩行者又は動物との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した運転者,
V30－V39,V30,V30.1,V301,NA,歩行者又は動物との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した同乗者,
V30－V39,V30,V30.2,V302,NA,歩行者又は動物との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V30,V30.3,V303,NA,歩行者又は動物との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した詳細不明の乗員,
V30－V39,V30,V30.4,V304,NA,歩行者又は動物との衝突により受傷したオート三輪車乗員，乗降中に受傷した者,
V30－V39,V30,V30.5,V305,NA,歩行者又は動物との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した運転者,
V30－V39,V30,V30.6,V306,NA,歩行者又は動物との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した同乗者,
V30－V39,V30,V30.7,V307,NA,歩行者又は動物との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V30,V30.9,V309,NA,歩行者又は動物との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した詳細不明の乗員,
V30－V39,V31,V31,V31,NA,自転車との衝突により受傷したオート三輪車乗員,
V30－V39,V31,V31.0,V310,NA,自転車との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した運転者,
V30－V39,V31,V31.1,V311,NA,自転車との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した同乗者,
V30－V39,V31,V31.2,V312,NA,自転車との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V31,V31.3,V313,NA,自転車との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した詳細不明の乗員,
V30－V39,V31,V31.4,V314,NA,自転車との衝突により受傷したオート三輪車乗員，乗降中に受傷した者,
V30－V39,V31,V31.5,V315,NA,自転車との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した運転者,
V30－V39,V31,V31.6,V316,NA,自転車との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した同乗者,
V30－V39,V31,V31.7,V317,NA,自転車との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V31,V31.9,V319,NA,自転車との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した詳細不明の乗員,
V30－V39,V32,V32,V32,NA,二輪又は三輪のモーター車両との衝突により受傷したオート三輪車乗員,
V30－V39,V32,V32.0,V320,NA,二輪又は三輪のモーター車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した運転者,
V30－V39,V32,V32.1,V321,NA,二輪又は三輪のモーター車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した同乗者,
V30－V39,V32,V32.2,V322,NA,二輪又は三輪のモーター車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V32,V32.3,V323,NA,二輪又は三輪のモーター車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した詳細不明の乗員,
V30－V39,V32,V32.4,V324,NA,二輪又は三輪のモーター車両との衝突により受傷したオート三輪車乗員，乗降中に受傷した者,
V30－V39,V32,V32.5,V325,NA,二輪又は三輪のモーター車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した運転者,
V30－V39,V32,V32.6,V326,NA,二輪又は三輪のモーター車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した同乗者,
V30－V39,V32,V32.7,V327,NA,二輪又は三輪のモーター車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V32,V32.9,V329,NA,二輪又は三輪のモーター車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した詳細不明の乗員,
V30－V39,V33,V33,V33,NA,乗用車，軽トラック又はバンとの衝突により受傷したオート三輪車乗員,
V30－V39,V33,V33.0,V330,NA,乗用車，軽トラック又はバンとの衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した運転者,
V30－V39,V33,V33.1,V331,NA,乗用車，軽トラック又はバンとの衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した同乗者,
V30－V39,V33,V33.2,V332,NA,乗用車，軽トラック又はバンとの衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V33,V33.3,V333,NA,乗用車，軽トラック又はバンとの衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した詳細不明の乗員,
V30－V39,V33,V33.4,V334,NA,乗用車，軽トラック又はバンとの衝突により受傷したオート三輪車乗員，乗降中に受傷した者,
V30－V39,V33,V33.5,V335,NA,乗用車，軽トラック又はバンとの衝突により受傷したオート三輪車乗員，路上交通事故により受傷した運転者,
V30－V39,V33,V33.6,V336,NA,乗用車，軽トラック又はバンとの衝突により受傷したオート三輪車乗員，路上交通事故により受傷した同乗者,
V30－V39,V33,V33.7,V337,NA,乗用車，軽トラック又はバンとの衝突により受傷したオート三輪車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V33,V33.9,V339,NA,乗用車，軽トラック又はバンとの衝突により受傷したオート三輪車乗員，路上交通事故により受傷した詳細不明の乗員,
V30－V39,V34,V34,V34,NA,大型輸送車両又はバスとの衝突により受傷したオート三輪車乗員,
V30－V39,V34,V34.0,V340,NA,大型輸送車両又はバスとの衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した運転者,
V30－V39,V34,V34.1,V341,NA,大型輸送車両又はバスとの衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した同乗者,
V30－V39,V34,V34.2,V342,NA,大型輸送車両又はバスとの衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V34,V34.3,V343,NA,大型輸送車両又はバスとの衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した詳細不明の乗員,
V30－V39,V34,V34.4,V344,NA,大型輸送車両又はバスとの衝突により受傷したオート三輪車乗員，乗降中に受傷した者,
V30－V39,V34,V34.5,V345,NA,大型輸送車両又はバスとの衝突により受傷したオート三輪車乗員，路上交通事故により受傷した運転者,
V30－V39,V34,V34.6,V346,NA,大型輸送車両又はバスとの衝突により受傷したオート三輪車乗員，路上交通事故により受傷した同乗者,
V30－V39,V34,V34.7,V347,NA,大型輸送車両又はバスとの衝突により受傷したオート三輪車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V34,V34.9,V349,NA,大型輸送車両又はバスとの衝突により受傷したオート三輪車乗員，路上交通事故により受傷した詳細不明の乗員,
V30－V39,V35,V35,V35,NA,鉄道列車又は鉄道車両との衝突により受傷したオート三輪車乗員,
V30－V39,V35,V35.0,V350,NA,鉄道列車又は鉄道車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した運転者,
V30－V39,V35,V35.1,V351,NA,鉄道列車又は鉄道車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した同乗者,
V30－V39,V35,V35.2,V352,NA,鉄道列車又は鉄道車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V35,V35.3,V353,NA,鉄道列車又は鉄道車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した詳細不明の乗員,
V30－V39,V35,V35.4,V354,NA,鉄道列車又は鉄道車両との衝突により受傷したオート三輪車乗員，乗降中に受傷した者,
V30－V39,V35,V35.5,V355,NA,鉄道列車又は鉄道車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した運転者,
V30－V39,V35,V35.6,V356,NA,鉄道列車又は鉄道車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した同乗者,
V30－V39,V35,V35.7,V357,NA,鉄道列車又は鉄道車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V35,V35.9,V359,NA,鉄道列車又は鉄道車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した詳細不明の乗員,
V30－V39,V36,V36,V36,NA,その他の非モーター車両との衝突により受傷したオート三輪車乗員,
V30－V39,V36,V36.0,V360,NA,その他の非モーター車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した運転者,
V30－V39,V36,V36.1,V361,NA,その他の非モーター車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した同乗者,
V30－V39,V36,V36.2,V362,NA,その他の非モーター車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V36,V36.3,V363,NA,その他の非モーター車両との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した詳細不明の乗員,
V30－V39,V36,V36.4,V364,NA,その他の非モーター車両との衝突により受傷したオート三輪車乗員，乗降中に受傷した者,
V30－V39,V36,V36.5,V365,NA,その他の非モーター車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した運転者,
V30－V39,V36,V36.6,V366,NA,その他の非モーター車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した同乗者,
V30－V39,V36,V36.7,V367,NA,その他の非モーター車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V36,V36.9,V369,NA,その他の非モーター車両との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した詳細不明の乗員,
V30－V39,V37,V37,V37,NA,固定又は静止した物体との衝突により受傷したオート三輪車乗員,
V30－V39,V37,V37.0,V370,NA,固定又は静止した物体との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した運転者,
V30－V39,V37,V37.1,V371,NA,固定又は静止した物体との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した同乗者,
V30－V39,V37,V37.2,V372,NA,固定又は静止した物体との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V37,V37.3,V373,NA,固定又は静止した物体との衝突により受傷したオート三輪車乗員，路上外交通事故により受傷した詳細不明の乗員,
V30－V39,V37,V37.4,V374,NA,固定又は静止した物体との衝突により受傷したオート三輪車乗員，乗降中に受傷した者,
V30－V39,V37,V37.5,V375,NA,固定又は静止した物体との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した運転者,
V30－V39,V37,V37.6,V376,NA,固定又は静止した物体との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した同乗者,
V30－V39,V37,V37.7,V377,NA,固定又は静止した物体との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V37,V37.9,V379,NA,固定又は静止した物体との衝突により受傷したオート三輪車乗員，路上交通事故により受傷した詳細不明の乗員,
V30－V39,V38,V38,V38,NA,衝突以外の交通事故により受傷したオート三輪車乗員,
V30－V39,V38,V38.0,V380,NA,衝突以外の交通事故により受傷したオート三輪車乗員，路上外交通事故により受傷した運転者,
V30－V39,V38,V38.1,V381,NA,衝突以外の交通事故により受傷したオート三輪車乗員，路上外交通事故により受傷した同乗者,
V30－V39,V38,V38.2,V382,NA,衝突以外の交通事故により受傷したオート三輪車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V38,V38.3,V383,NA,衝突以外の交通事故により受傷したオート三輪車乗員，路上外交通事故により受傷した詳細不明の乗員,
V30－V39,V38,V38.4,V384,NA,衝突以外の交通事故により受傷したオート三輪車乗員，乗降中に受傷した者,
V30－V39,V38,V38.5,V385,NA,衝突以外の交通事故により受傷したオート三輪車乗員，路上交通事故により受傷した運転者,
V30－V39,V38,V38.6,V386,NA,衝突以外の交通事故により受傷したオート三輪車乗員，路上交通事故により受傷した同乗者,
V30－V39,V38,V38.7,V387,NA,衝突以外の交通事故により受傷したオート三輪車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V30－V39,V38,V38.9,V389,NA,衝突以外の交通事故により受傷したオート三輪車乗員，路上交通事故により受傷した詳細不明の乗員,
V30－V39,V39,V39,V39,NA,その他及び詳細不明の交通事故により受傷したオート三輪車乗員,
V30－V39,V39,V39.0,V390,NA,その他及び詳細不明のモーター車両との路上外交通事故により受傷したオート三輪車運転者,
V30－V39,V39,V39.1,V391,NA,その他及び詳細不明のモーター車両との路上外交通事故により受傷したオート三輪車同乗者,
V30－V39,V39,V39.2,V392,NA,その他及び詳細不明のモーター車両との路上外交通事故により受傷した詳細不明のオート三輪車乗員,
V30－V39,V39,V39.3,V393,NA,詳細不明の路上外交通事故により受傷したオート三輪車乗員,
V30－V39,V39,V39.4,V394,NA,その他及び詳細不明のモーター車両との路上交通事故により受傷したオート三輪車運転者,
V30－V39,V39,V39.5,V395,NA,その他及び詳細不明のモーター車両との路上交通事故により受傷したオート三輪車同乗者,
V30－V39,V39,V39.6,V396,NA,その他及び詳細不明のモーター車両との路上交通事故により受傷した詳細不明のオート三輪車乗員,
V30－V39,V39,V39.8,V398,NA,その他の明示された交通事故により受傷したオート三輪車乗員,
V30－V39,V39,V39.9,V399,NA,詳細不明の路上交通事故により受傷したオート三輪車乗員,
－,－,－,－,NA,NA,
－,－,－,－,NA,路上外交通事故により受傷した運転者,
－,－,－,－,NA,路上外交通事故により受傷した同乗者,
－,－,－,－,NA,路上外交通事故により受傷した車両の外側に乗っていた者,
－,－,－,－,NA,路上外交通事故により受傷した詳細不明の乗員,
－,－,－,－,NA,乗降中に受傷した者,
－,－,－,－,NA,路上交通事故により受傷した運転者,
－,－,－,－,NA,路上交通事故により受傷した同乗者,
－,－,－,－,NA,路上交通事故により受傷した車両の外側に乗っていた者,
－,－,－,－,NA,路上交通事故により受傷した詳細不明の乗員,
V40－V49,V40,V40,V40,NA,歩行者又は動物との衝突により受傷した乗用車乗員,
V40－V49,V40,V40.0,V400,NA,歩行者又は動物との衝突により受傷した乗用車乗員，路上外交通事故により受傷した運転者,
V40－V49,V40,V40.1,V401,NA,歩行者又は動物との衝突により受傷した乗用車乗員，路上外交通事故により受傷した同乗者,
V40－V49,V40,V40.2,V402,NA,歩行者又は動物との衝突により受傷した乗用車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V40－V49,V40,V40.3,V403,NA,歩行者又は動物との衝突により受傷した乗用車乗員，路上外交通事故により受傷した詳細不明の乗員,
V40－V49,V40,V40.4,V404,NA,歩行者又は動物との衝突により受傷した乗用車乗員，乗降中に受傷した者,
V40－V49,V40,V40.5,V405,NA,歩行者又は動物との衝突により受傷した乗用車乗員，路上交通事故により受傷した運転者,
V40－V49,V40,V40.6,V406,NA,歩行者又は動物との衝突により受傷した乗用車乗員，路上交通事故により受傷した同乗者,
V40－V49,V40,V40.7,V407,NA,歩行者又は動物との衝突により受傷した乗用車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V40－V49,V40,V40.9,V409,NA,歩行者又は動物との衝突により受傷した乗用車乗員，路上交通事故により受傷した詳細不明の乗員,
V40－V49,V41,V41,V41,NA,自転車との衝突により受傷した乗用車乗員,
V40－V49,V41,V41.0,V410,NA,自転車との衝突により受傷した乗用車乗員，路上外交通事故により受傷した運転者,
V40－V49,V41,V41.1,V411,NA,自転車との衝突により受傷した乗用車乗員，路上外交通事故により受傷した同乗者,
V40－V49,V41,V41.2,V412,NA,自転車との衝突により受傷した乗用車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V40－V49,V41,V41.3,V413,NA,自転車との衝突により受傷した乗用車乗員，路上外交通事故により受傷した詳細不明の乗員,
V40－V49,V41,V41.4,V414,NA,自転車との衝突により受傷した乗用車乗員，乗降中に受傷した者,
V40－V49,V41,V41.5,V415,NA,自転車との衝突により受傷した乗用車乗員，路上交通事故により受傷した運転者,
V40－V49,V41,V41.6,V416,NA,自転車との衝突により受傷した乗用車乗員，路上交通事故により受傷した同乗者,
V40－V49,V41,V41.7,V417,NA,自転車との衝突により受傷した乗用車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V40－V49,V41,V41.9,V419,NA,自転車との衝突により受傷した乗用車乗員，路上交通事故により受傷した詳細不明の乗員,
V40－V49,V42,V42,V42,NA,二輪又は三輪のモーター車両との衝突により受傷した乗用車乗員,
V40－V49,V42,V42.0,V420,NA,二輪又は三輪のモーター車両との衝突により受傷した乗用車乗員，路上外交通事故により受傷した運転者,
V40－V49,V42,V42.1,V421,NA,二輪又は三輪のモーター車両との衝突により受傷した乗用車乗員，路上外交通事故により受傷した同乗者,
V40－V49,V42,V42.2,V422,NA,二輪又は三輪のモーター車両との衝突により受傷した乗用車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V40－V49,V42,V42.3,V423,NA,二輪又は三輪のモーター車両との衝突により受傷した乗用車乗員，路上外交通事故により受傷した詳細不明の乗員,
V40－V49,V42,V42.4,V424,NA,二輪又は三輪のモーター車両との衝突により受傷した乗用車乗員，乗降中に受傷した者,
V40－V49,V42,V42.5,V425,NA,二輪又は三輪のモーター車両との衝突により受傷した乗用車乗員，路上交通事故により受傷した運転者,
V40－V49,V42,V42.6,V426,NA,二輪又は三輪のモーター車両との衝突により受傷した乗用車乗員，路上交通事故により受傷した同乗者,
V40－V49,V42,V42.7,V427,NA,二輪又は三輪のモーター車両との衝突により受傷した乗用車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V40－V49,V42,V42.9,V429,NA,二輪又は三輪のモーター車両との衝突により受傷した乗用車乗員，路上交通事故により受傷した詳細不明の乗員,
V40－V49,V43,V43,V43,NA,乗用車，軽トラック又はバンとの衝突により受傷した乗用車乗員,
V40－V49,V43,V43.0,V430,NA,乗用車，軽トラック又はバンとの衝突により受傷した乗用車乗員，路上外交通事故により受傷した運転者,
V40－V49,V43,V43.1,V431,NA,乗用車，軽トラック又はバンとの衝突により受傷した乗用車乗員，路上外交通事故により受傷した同乗者,
V40－V49,V43,V43.2,V432,NA,乗用車，軽トラック又はバンとの衝突により受傷した乗用車乗員，路上外交通事故により受傷した車両の外側に乗っていた者,
V40－V49,V43,V43.3,V433,NA,乗用車，軽トラック又はバンとの衝突により受傷した乗用車乗員，路上外交通事故により受傷した詳細不明の乗員,
V40－V49,V43,V43.4,V434,NA,乗用車，軽トラック又はバンとの衝突により受傷した乗用車乗員，乗降中に受傷した者,
V40－V49,V43,V43.5,V435,NA,乗用車，軽トラック又はバンとの衝突により受傷した乗用車乗員，路上交通事故により受傷した運転者,
V40－V49,V43,V43.6,V436,NA,乗用車，軽トラック又はバンとの衝突により受傷した乗用車乗員，路上交通事故により受傷した同乗者,
V40－V49,V43,V43.7,V437,NA,乗用車，軽トラック又はバンとの衝突により受傷した乗用車乗員，路上交通事故により受傷した車両の外側に乗っていた者,
V40－V49,V43,V43.9,V439,NA,乗用車，軽トラック又はバンとの衝突により受傷した乗用車乗員，路上交通事故により受傷した詳細不明の乗員,
V40－V49,V44,V44,V44,NA,大型輸送車両又はバスとの衝突により受傷した乗用車乗員,
V40－V49,V44,V44.0,V440,NA,大型輸送車両又はバスとの衝突により受傷した乗用車乗員，路上外交通事故により受傷した運転者,
V40－V49,V44,V44.1,V441,NA,大型輸送車両又はバスとの衝突により受傷した乗用車乗員，路上外交通事故により受傷した同乗者,
